"simulacion","acciones.CRC","bonos.cero.cupon.CRC","bonos.cuponados.CRC","acciones.USD","bonos.cero.cupon.USD","bonos.cuponados.USD","portafolio.CRC","portafolio.USD","tipo.cambio","total.portafolio","total.portafolio.TCF","Ut.tasa.corta.CRC","Ut.tasa.corta.USD"
1,15562036.2361616,34014902.2651753,241236438.270837,89904.3497233172,36244.5566888,44348.7669739465,290813376.772174,170497.673386064,601.857259963179,393428639.306407,375753612.676377,43,36
2,7566499.06651688,41539273.644479,273130769.815508,41849.948076495,37401.3083925809,46799.6999104086,322236542.526504,126050.956379485,601.857259963179,398101225.748799,385033868.485199,50,44
3,22317839.0853814,41410454.5715256,272176732.922662,89904.3497233172,36674.0051488986,45249.5820877929,335905026.579569,171827.936960009,601.857259963179,439320917.903446,421507986.493676,50,39
4,8532773.60152262,33991524.0587551,240986954.206039,53999.5553495007,37710.0075880272,47460.3526707239,283511251.866317,139169.915608252,601.857259963179,367271675.943606,352844312.123192,43,46
5,19790506.1697733,34008745.7984335,241231632.869095,45561.0100609715,38181.8361356212,48472.1118239539,295030884.837302,132214.958020547,601.857259963179,374605417.197694,360899054.773558,43,49
6,25167923.304646,34849073.5110237,245018513.872658,45561.0100609715,37262.6316909392,46498.4878837274,305035510.688328,129322.129635638,601.857259963179,382868973.283436,369462502.451506,44,43
7,19790506.1697733,34779274.6472948,244595002.491863,45561.0100609715,36534.7238581219,44955.2315151293,299164783.308931,127050.965434223,601.857259963179,375631329.240849,362460303.778606,44,38
8,6709648.09301686,37796967.3033483,257803152.502254,69676.358322211,38177.4636608646,48465.4529240997,302309767.898619,156319.274907175,601.857259963179,396391658.373682,380186467.464625,47,49
9,7566499.06651688,33928379.7310683,240636924.830847,69676.3583222109,37109.3407410058,46178.5440868045,282131803.628432,152964.243150021,601.857259963179,374194443.883045,358337059.923341,43,42
10,36093841.0566799,36680309.1002744,252954491.117021,64001.0389155453,36664.6355544058,45239.4852827024,325728641.273976,145905.159752653,601.857259963179,413542720.937197,398417132.81115,46,39
11,17549375.3206771,33955927.0614275,240705667.738242,58787.9889377545,36965.986592408,45871.4210855759,292210970.120346,141625.396615738,601.857259963179,377449243.268693,362767326.460341,43,41
12,25167923.304646,40102139.6651879,267109677.829141,116004.801252593,37253.9981683262,46485.5799382631,332379740.798975,199744.379359182,601.857259963179,452597345.653138,431890393.151926,49,43
13,19790506.1697733,37763417.6534292,257584647.861439,97876.6562573047,36661.8380102924,45236.7020061329,315138571.684641,179775.19627373,601.857259963179,423337578.723291,404700776.716251,47,39
14,10851273.3194782,30526016.5258896,224211212.680726,75854.9390964018,36526.8101088471,44941.357349754,265588502.526093,157323.106555003,601.857259963179,360274556.366183,343965300.98073,38,38
15,19790506.1697733,30570674.5761448,224485156.066594,35310.0297404941,36095.4729587954,44045.2284116245,274846336.812512,115450.731110914,601.857259963179,344331197.499672,332362736.544658,38,35
16,12237027.6807518,29464602.7157945,218616207.231021,82581.4081544013,35970.6194283319,43773.7891854822,260317837.627568,162325.816768215,601.857259963179,358014808.928971,341186936.283325,36,34
17,45901151.5770143,33229486.82567,237705525.533403,41849.948076495,36382.6904371809,44637.5853418861,316836163.936087,122870.223855562,601.857259963179,390786500.196858,378048880.758689,42,37
18,10851273.3194782,41401391.6353143,272176832.019782,75854.9390964018,37265.0645914073,46504.702289141,324429496.974574,159624.70597695,601.857259963179,420500785.13629,403952929.245231,50,43
