"simulacion","acciones.CRC","bonos.cero.cupon.CRC","bonos.cuponados.CRC","acciones.USD","bonos.cero.cupon.USD","bonos.cuponados.USD","portafolio.CRC","portafolio.USD","tipo.cambio","total.portafolio","total.portafolio.TCF","Ut.tasa.corta.CRC","Ut.tasa.corta.USD"
19,19790506.1697733,31196647.3127346,227830452.165661,49601.1520487839,36968.4204053848,45871.5196533744,278817605.648169,132441.092107543,601.857259963179,358528238.450546,344798433.325226,39,41
20,15562036.2361616,33995827.2335851,241138821.169177,64001.0389155454,36814.5520242581,45547.4420478665,290696684.638923,146363.03298767,601.857259963179,378786338.632783,363613284.043051,43,40
21,17549375.3206771,33995212.4021089,241114341.236535,75854.9390964018,36958.5659676408,45861.2226334376,292658928.959321,158674.72769748,601.857259963179,388158465.79673,371709091.550929,43,41
22,25167923.304646,29956247.672857,221203573.234257,53999.5553495008,37107.3949233667,46172.6510010768,276327744.21176,137279.601273944,601.857259963179,358950468.883334,344719068.770426,37,42
23,12237027.6807518,31114230.1336087,227121559.744833,82581.4081544014,37866.0753360463,47796.6232293133,270472817.559194,168244.106719761,601.857259963179,371731754.634502,354290349.085911,39,47
24,28381975.5597865,36673613.9179361,252897722.951402,64001.0389155454,38024.4808899668,48127.4131743869,317953312.429125,150152.932979899,601.857259963179,408323945.247842,392758002.110381,46,48
25,6709648.09301686,31114230.1336087,227151056.485894,45561.0100609715,38344.3505574973,48816.5910929979,264974934.712519,132721.951711467,601.857259963179,344854604.906548,331095683.835655,39,50
26,32006476.1373305,29383986.1515762,218025116.43152,82581.4081544014,36386.951509205,44647.8447098879,279415578.720427,163616.204373494,601.857259963179,377889179.170234,360927535.577258,36,37
27,9622445.5583469,34006284.0735129,241217546.944109,53999.5553495007,36671.2058091184,45242.9416159894,284846276.575969,135913.702774609,601.857259963179,366646925.319345,352557124.161251,43,39
28,40703180.088776,29982919.1103828,221351951.765481,89904.3497233172,36808.4702292027,45539.6017060121,292038050.964639,172252.421658532,601.857259963179,395709421.486066,377852484.910703,37,40
29,13799748.8452063,31790855.7673081,230651044.57644,58787.9889377545,37408.1148395424,46810.6669627342,276241649.188955,143006.770740031,601.857259963179,362311312.382732,347486192.303931,40,44
30,10851273.3194782,30495716.0482204,223891210.10312,41849.948076495,37111.6517364487,46179.5587634083,265238199.470819,125141.158576352,601.857259963179,340555314.2802,327582273.261971,38,42
31,10851273.3194782,35685678.1415023,248521415.626355,106555.910471437,36669.8671840945,45242.4122536094,295058367.087335,188468.189909141,601.857259963179,408489315.456271,388951334.61817,45,39
32,13799748.8452063,34872428.350922,245268430.243589,64001.0389155454,37403.9819750823,46810.538441685,293940607.439717,148215.559332313,601.857259963179,383145217.863373,367780116.943482,44,44
33,7566499.06651688,33129309.0968121,236913487.735005,53999.5553495007,36383.4208184085,44640.9846649506,277609295.898334,135023.96083286,601.857259963179,358874446.994575,344876882.945656,42,37
34,13799748.8452063,31124116.0057127,227252738.816912,49601.1520487839,37555.6567862503,47129.824595509,272176603.667831,134286.633430543,601.857259963179,352997988.914017,339076861.576593,39,45
35,58373275.1742174,28930349.5445436,215554825.225186,82581.4081544015,36821.4883623979,45554.4535131768,302858449.943947,164957.350029976,601.857259963179,402139228.643776,385038552.155381,35,40
36,40703180.088776,33296313.3699436,238144772.925222,106555.910471437,36099.1251692809,44050.1177998635,312144266.383941,186705.153440582,601.857259963179,424514118.454695,405158906.776505,42,35
37,10851273.3194782,28449756.0176833,212909832.956575,58787.9889377545,36385.4904302165,44644.1513342502,252210862.293736,139817.630702221,601.857259963179,336361118.402719,321866607.733276,34,37
38,7566499.06651688,37753066.4136028,257521547.787105,97876.6562573047,36670.840717397,45245.5507664098,302841113.267225,179793.047741112,601.857259963179,411050864.341119,392412211.721369,47,39
39,13799748.8452063,35748586.1213823,248994743.208584,97876.6562573047,36824.8968933464,45566.9583410614,298543078.175173,180268.511491712,601.857259963179,407038990.559216,388351047.915229,45,40
40,45901151.5770143,33137268.8047152,236891304.630762,82581.4081544014,37710.9796540239,47463.7121064191,315929725.012492,167756.099914844,601.857259963179,416894951.649349,399504136.429068,42,46
41,8532773.60152262,33995827.2335851,241221618.415869,75854.9390964018,36812.6055741255,45548.0152108117,283750219.250977,158215.559881339,601.857259963179,378973402.6047,362571629.028261,43,40
42,65827793.9456965,29318639.3697753,217558527.651089,89904.3497233172,36965.0131807895,45863.9355574401,312704960.966561,172733.298461547,601.857259963179,416665750.683029,398758962.927119,36,41
43,15562036.2361616,38837408.9845853,261829591.996478,137490.535825791,37559.788893088,47135.6422108228,316229037.217225,222185.966929702,601.857259963179,449953274.475805,426919864.081933,48,45
44,25167923.304646,34724450.6260132,244135462.083135,64001.0389155454,36669.1370767085,45248.8204644396,304027836.013794,145918.996456694,601.857259963179,391850243.397796,376723220.858554,44,39
45,45901151.5770143,26955845.4150415,204212603.60254,64001.0389155454,36970.732903463,45873.4971172908,277069600.594595,146845.268936299,601.857259963179,365449491.795153,350226445.12597,30,41
46,25167923.304646,33933272.5053328,240689974.252527,97876.6562573047,36523.6458091941,44936.2455841622,299791170.062505,179336.547650661,601.857259963179,407726173.242788,389134844.736588,43,38
47,6709648.09301686,34880428.3570186,245229851.464847,53999.5553495007,37558.8165273248,47134.6534982824,286819927.914883,138693.025375108,601.857259963179,370293332.143149,355915406.226508,44,45
48,22317839.0853814,38916314.7374962,262419890.889383,35310.029740494,37711.4657113244,47463.5423867501,323654044.712261,120485.037838569,601.857259963179,396168839.452342,383678485.713058,48,46
49,22317839.0853814,31792711.0836541,230709843.195635,64001.0389155454,36958.4443494778,45859.66888886,284820393.36467,146819.152153883,601.857259963179,373184565.990123,357964226.776213,40,41
50,19790506.1697733,31122879.8391495,227267257.688117,149682.567696315,35948.4567734011,43742.5027020085,278180643.697039,229373.527171724,601.857259963179,416230766.268703,392452241.198721,39,34
51,10851273.3194782,33172230.2025864,237235172.183327,49601.152048784,36812.119002142,45540.610417156,281258675.705392,131953.881468082,601.857259963179,360676077.247278,346996779.913975,42,40
52,12237027.6807518,30466105.8398376,223738135.398754,126291.576451414,37563.5574227666,47139.1300018472,266441268.919343,210994.263876028,601.857259963179,393429698.443717,371556501.239742,38,45
53,13799748.8452063,31702127.0683062,230000572.742036,29792.1086543674,37258.1318938893,46489.4367139267,275502448.655548,113539.677262183,601.857259963179,343837127.70967,332066780.470796,40,43
54,32006476.1373305,31836701.5673566,230918142.768304,116004.801252593,36823.070795716,45563.6941208164,294761320.472991,198391.566169125,601.857259963179,414164724.887345,393598014.822788,40,40
55,22317839.0853814,32472231.9574742,234021610.360544,45561.0100609715,36810.9026431393,45544.7770504241,288811681.403399,127916.689754535,601.857259963179,365799269.802624,352538497.072211,41,40
56,36093841.0566799,34754877.9552981,244431936.415385,29792.1086543674,36817.2288169843,45552.0521213389,315280655.427363,112161.389592691,601.857259963179,382785802.041282,371158338.108546,44,40
57,32006476.1373305,30572538.819417,224512572.815165,64001.0389155454,36808.2270101054,45541.2031668019,287091587.771913,146350.469092453,601.857259963179,375173680.094222,360001927.969082,38,40
58,19790506.1697733,31053236.8471663,226828408.541464,53999.5553495007,36818.3240100061,45556.0910817031,277672151.558403,136373.97044121,601.857259963179,359749815.738449,345612299.89251,39,40
59,25167923.304646,31110524.9700552,227241649.869994,69676.3583222109,36526.4449623578,44940.8847903573,283520098.144695,151143.688074926,601.857259963179,374487024.110199,358818372.106742,39,38
60,13799748.8452063,31661672.7609268,229765202.779831,45561.0100609715,38502.0770699222,49161.4092743768,275226624.385964,133224.49640527,601.857259963179,355408754.752415,341597736.250106,40,51
61,36093841.0566799,29452787.5735985,218565018.100316,27365.4644312332,37863.1597212333,47792.6909732247,284111646.730594,113021.315125691,601.857259963179,352134345.769578,340417735.713062,36,47
62,40703180.0887759,29990372.5423553,221411766.488347,64001.0389155454,37403.8604379711,46808.954877457,292105319.119478,148213.854230974,601.857259963179,381308903.315514,365943979.158807,37,44
63,10851273.3194782,38845276.4999528,261988440.820011,27365.4644312332,37111.2868181047,46177.5929111858,311684990.639442,110654.344160524,601.857259963179,378283111.018917,366811878.356773,48,42
64,28381975.5597865,27208280.8173511,205575491.02037,53999.5553495007,36959.9038343254,45859.3770679713,261165747.397508,136818.836251797,601.857259963179,343511157.295366,329327523.429791,31,41
65,25167923.304646,35664983.4219551,248383529.189816,64001.0389155454,35963.7965694225,43762.0667222971,309216435.916417,143726.902207265,601.857259963179,395719515.461878,380819741.327055,45,34
66,15562036.2361616,37777436.283992,257784650.181312,69676.358322211,37258.3750906925,46493.9246261361,311124122.701465,153428.65803904,601.857259963179,403466274.428669,387560745.849935,47,43
67,15562036.2361616,36710788.2000131,253157133.303751,64001.0389155453,37111.2868181047,46176.508886929,305429957.739926,147288.834620579,601.857259963179,394076812.167837,378807782.259552,46,42
68,10851273.3194782,31114847.7689421,227256245.704345,82581.4081544013,37105.4493651526,46172.0007388137,269222366.792765,165858.858258368,601.857259963179,369045724.764767,351851591.388501,39,42
69,19790506.1697733,29995343.9820607,221478517.92668,58787.9889377545,37262.1451595017,46497.769929793,271264368.078514,142547.904027049,601.857259963179,357057859.009728,342280308.38575,37,43
70,8532773.60152262,41477124.2033623,272637668.246603,106555.910471437,36523.7675003498,44936.6238512326,322647566.051488,188016.30182302,601.857259963179,435806542.2951,416315407.456698,50,38
71,9622445.5583469,35715564.83885,248712709.807241,53999.5553495007,37864.8604256749,47787.0938459908,294050720.204438,139651.509621166,601.857259963179,378100995.134754,363623705.782606,45,47
72,10851273.3194782,30501893.791454,224112774.258641,97876.6562573047,37558.9380695001,47132.4447901245,265465941.369573,182568.039116929,601.857259963179,375345841.149339,356419512.777236,38,45
73,40703180.088776,33993982.8313775,241082037.50489,69676.358322211,36810.6593835022,45549.283509253,315779200.425044,152036.301214966,601.857259963179,407283352.08922,391522165.327328,43,40
74,6709648.09301686,33958991.7036838,240890041.54698,38441.1616788459,38825.4538542749,49860.9080762769,281558681.343681,127127.523609398,601.857259963179,358071304.369138,344892342.330647,43,53
75,36093841.0566799,37754892.4637012,257497305.490717,53999.5553495007,37108.4894138651,46172.9534139029,331346039.011099,137280.998177269,601.857259963179,413969604.41908,399738059.493032,47,42
76,36093841.0566799,31085852.2656063,226916903.599588,45561.0100609715,37869.234576868,47798.3678925636,294096596.921874,131228.612530403,601.857259963179,373077490.088192,359473379.398396,39,47
77,12237027.6807518,32419275.7130657,233542339.374414,75854.9390964019,36960.9985437438,45853.1594418617,278198642.768232,158669.097082007,601.857259963179,373694790.77884,357246000.243517,41,41
78,32006476.1373305,28447894.0101614,212889230.369102,45561.0100609715,36820.2712226478,45560.2234917244,273343600.516594,127941.504775344,601.857259963179,350346124.016249,337082778.780623,34,40
79,12237027.6807518,36594767.322155,252356208.724218,25136.4766497422,37105.3277763771,46166.1843437059,301188003.727125,108407.988769825,601.857259963179,366434138.806251,355195779.652364,46,42
80,9622445.5583469,32443878.2004117,233794730.368493,41849.948076495,36667.3119679465,45245.5596906584,275861054.127252,123762.8197351,601.857259963179,350348605.698336,337518453.291081,41,39
81,25167923.304646,34796992.7850363,244764052.049473,64001.0389155454,37561.6122536253,47136.1541350447,304728968.139156,148698.805304215,601.857259963179,394224423.659349,378809225.953663,44,45
82,12237027.6807518,29925306.3934753,221033923.733851,137490.535825791,37402.5235965912,46808.9288237294,263196257.808079,221701.988246111,601.857259963179,396629208.982272,373645971.332409,37,44
83,19790506.1697733,34850915.701276,245088397.815955,53999.5553495007,38661.5905212617,49509.5270752274,299729819.687004,142170.67294599,601.857259963179,385296271.353399,370557827.241967,44,52
84,25167923.304646,35793367.9714469,249351588.948549,32433.9365883598,36380.8646438747,44639.3902103151,310312880.224642,113454.19144255,601.857259963179,378596109.017592,366834623.859405,45,37
85,58373275.1742174,42878802.3857034,277959420.305903,75854.9390964018,36245.2873683275,44353.1652491683,379211497.865824,156453.391713898,601.857259963179,473374107.514696,457155013.08377,51,36
86,13799748.8452063,37787197.8874664,257727463.221841,49601.152048784,38024.4808899668,48127.9454239666,309314409.954514,135753.578362717,601.857259963179,391018686.658096,376945485.159036,47,48
87,15562036.2361616,28462797.8937021,212967554.734929,89904.3497233172,36106.675964932,44055.6244849266,256992388.864793,170066.650173176,601.857259963179,359348236.949137,341717893.314567,34,35
88,15562036.2361616,32403924.1266447,233449393.194507,69676.3583222109,37259.4695264678,46491.7112283827,281415353.557313,153427.539077061,601.857259963179,373756831.829127,357851419.250114,41,43
89,17549375.3206771,38895628.2941817,262325020.430086,75854.9390964018,36382.9338935324,44640.6033362092,318770024.044945,156878.476326143,601.857259963179,413188473.953796,396925312.165867,48,37
90,15562036.2361616,36691272.7992245,253057278.817362,41849.948076495,36667.9203121852,45239.4889941564,305310587.852748,123757.357382837,601.857259963179,379794851.867466,366965265.727303,46,39
91,17549375.3206771,40113052.5012842,267138816.457065,27365.4644312332,37100.1004174418,46162.4560104991,324801244.279026,110628.020859174,601.857259963179,391383521.788478,379915017.990858,49,42
92,28381975.5597864,34815961.2949854,244879875.563214,82581.4081544014,36961.2418236534,45866.1582069315,308077812.417985,165408.808184986,601.857259963179,407630304.485976,390482826.567664,44,41
93,25167923.304646,27676788.4823609,208447857.831072,53999.5553495007,37106.4221118336,46171.3433156914,261292569.618079,137277.320777026,601.857259963179,343913921.756026,329682758.055986,32,42
94,36093841.0566799,31676980.6576127,229742102.544299,58787.9889377545,37259.3479184392,46495.038340958,297512924.258592,142542.375197152,601.857259963179,383303087.623393,368526110.158061,40,43
95,15562036.2361616,34851529.8261024,245070732.459999,45561.0100609715,36960.3903617085,45862.2747542268,295484298.522263,128383.675176907,601.857259963179,372752945.488239,359443761.658647,44,41
96,7566499.06651688,34811063.3806098,244778792.565104,53999.5553495007,37101.5590268611,46165.4645667159,287156355.01223,137266.578943078,601.857259963179,369771242.09943,355541191.975882,44,42
97,28381975.5597864,34004438.1028969,241201783.811262,41849.948076495,37571.9489362663,47153.6446523936,303588197.473945,126575.541665155,601.857259963179,379768606.15889,366646866.576108,43,45
98,12237027.6807518,33168545.3614951,237194736.089053,82581.4081544014,36380.9863563283,44638.690411141,282600309.1313,163601.084921871,601.857259963179,381064809.82938,364104733.628527,42,37
99,17549375.3206771,33143395.1785569,237037727.511118,58787.9889377545,37559.0596126883,47130.3314077077,287730498.010352,143477.379958151,601.857259963179,374083400.778661,359209493.931703,42,45
100,83714325.1985002,29402543.4916901,218125539.93712,149682.567696315,36378.4306077881,44636.8060079617,331242408.62731,230697.804312065,601.857259963179,470089557.010091,446173747.757538,36,37
101,32006476.1373305,33930214.2920725,240634907.948452,41849.948076495,37110.6786411376,46169.689052055,306571598.377855,125130.315769688,601.857259963179,381882187.365327,368910270.391156,43,42
102,15562036.2361616,34776832.7818073,244492940.889072,75854.9390964018,36812.119002142,45545.1182460675,294831809.907041,158212.176344611,601.857259963179,390052956.85462,373651534.040163,44,40
103,17549375.3206771,29414310.879327,218264538.377791,69676.3583222109,37255.9433050483,46490.964779533,265228224.577795,153423.266406792,601.857259963179,357567131.311988,341662161.668995,36,43
104,17549375.3206771,32457430.5567606,233798698.164604,53999.5553495007,36242.2431113042,44343.5712072372,283805504.042041,134585.369668042,601.857259963179,364806685.861581,350854589.356963,41,36
105,12237027.6807518,34819636.016684,244841112.858321,82581.4081544014,38828.9747609862,49870.3763836488,291897776.555757,171280.759299036,601.857259963179,394984345.031888,377228138.030944,44,53
106,25167923.304646,28008071.7599346,210347185.824959,97876.6562573047,36819.1758835905,45559.2521019899,263523180.88954,180255.084242885,601.857259963179,372011011.986395,353324461.308503,33,40
107,12237027.6807518,29537607.0118753,219169995.811282,75854.9390964018,37556.2643755971,47123.3932580627,260944630.503909,160534.596730062,601.857259963179,357563543.021158,340921361.248858,36,45
108,17549375.3206771,30569431.9026412,224571362.13976,53999.5553495007,38985.5484597332,50216.2819934675,272690169.363079,143201.385802701,601.857259963179,358876963.045223,344031667.756127,38,54
109,19790506.1697733,36786091.8690978,253709891.419938,82581.4081544014,37106.5437097286,46166.0159655015,310286489.458809,165853.967829631,601.857259963179,410106904.090772,392913277.691853,46,42
110,10851273.3194782,29961205.4598839,221180175.269627,82581.4081544014,35958.3162217578,43753.3042368644,261992654.048989,162293.028613024,601.857259963179,359669891.56115,342845417.973712,37,34
111,19790506.1697733,38935816.482284,262595581.79597,75854.9390964018,37106.7869085585,46175.1047054818,321321904.448028,159136.830710442,601.857259963179,417099561.338639,400602282.139663,48,42
112,10851273.3194782,40164718.2435991,267486477.652679,69676.3583222109,37107.3949233667,46172.0851531061,318502469.215756,152955.838398684,601.857259963179,410560051.009759,394703538.347596,49,42
113,6709648.09301685,33152590.4847101,237120862.047502,29792.1086543674,38189.7342048478,48473.4746838219,276983100.625229,116455.317543037,601.857259963179,347072578.949823,334999975.271995,42,49
114,4148764.50041254,46098774.7552095,290052677.611734,69676.3583222109,38020.9579287941,48126.2990781645,340300216.867356,155823.615329169,601.857259963179,434083791.026926,417929983.788195,53,48
115,12237027.6807518,31833598.5318006,231072091.101427,32433.9365883597,37408.2364121071,46808.5945198266,275142717.313979,116650.767520293,601.857259963179,345349828.626345,333256963.184914,40,44
116,25167923.304646,28482075.2321741,213134463.525067,97876.6562573047,36531.6796010986,44952.3684473537,266784462.061887,179360.704305757,601.857259963179,374734004.100416,356140171.339972,34,38
117,19790506.1697733,38895628.2941817,262244263.741937,75854.9390964018,37569.5161168936,47146.5923962724,320930398.205892,160571.047609568,601.857259963179,417571248.949604,400925288.414503,48,45
118,13799748.8452063,33190670.9989523,237350764.686818,64001.0389155454,37110.9219088835,46177.7139588321,284341184.530977,147289.674783261,601.857259963179,372988544.616898,357719427.61125,42,42
119,8532773.60152262,33166703.3554526,237182097.708503,97876.6562573047,37720.2175138302,47471.4212392269,278881574.665478,183068.295010362,601.857259963179,389062557.086545,370084368.55669,42,46
120,5949829.25873125,36773202.3383456,253613166.778292,53999.5553495007,36963.1882089055,45866.2420941372,296336198.375369,136828.985652543,601.857259963179,378687716.76375,364503030.73761,46,41
121,8532773.60152262,38895628.2941817,262265868.844286,64001.0389155454,37252.6610372659,46484.1342028006,309694270.73999,147737.834155612,601.857259963179,398611358.797781,383295782.337975,48,43
122,22317839.0853814,37756109.9826132,257458098.431727,137490.535825791,38339.8562318713,48813.3513073518,317532047.499722,224643.743365014,601.857259963179,452735515.349261,429447314.006738,47,50
123,13799748.8452063,34839253.1618659,244904718.728819,58787.9889377544,36242.1213542146,44346.8201822866,293543720.735891,139376.930474256,601.857259963179,377428738.213205,362979913.728861,44,36
124,45901151.5770143,34816573.6720477,244820428.17108,64001.0389155454,36810.781012814,45543.8457528352,325538153.420142,146355.665681195,601.857259963179,413623373.347113,398451082.505857,44,40
125,12237027.6807518,34809839.2081049,244746968.05479,45561.0100609715,36243.3389707711,44345.8371870043,291793834.943646,126150.186218747,601.857259963179,367718240.365106,354640596.215964,44,36
126,13799748.8452063,33151364.0453899,237031096.647584,69676.358322211,37563.9221708551,47144.5226295808,283982209.53818,154384.803122647,601.857259963179,376899824.125531,360895174.605852,42,45
127,32006476.1373305,41404411.8588382,272211841.622873,82581.4081544014,37566.597268816,47146.8168677335,345622729.619042,167294.822290951,601.857259963179,446310332.969101,428967337.136171,50,45
128,9622445.55834689,36708957.3044643,253187150.733686,49601.152048784,38021.3223335731,48130.947122788,299518553.596497,135753.421505145,601.857259963179,381222735.89421,367149550.656145,46,48
129,36093841.0566799,31159398.7683859,227497326.2304,38441.1616788459,37256.5512134633,46492.8345215535,294750566.055466,122190.547413863,601.857259963179,368291834.115374,355624674.871578,39,43
130,28381975.5597865,35765130.2268039,249133982.159502,64001.0389155454,37398.3923160923,46796.5903238679,313281087.946092,148196.021555506,601.857259963179,402473939.416933,387110863.92483,45,44
131,17549375.3206771,29297138.5488338,217436424.498744,53999.5553495007,36673.031404641,45249.9664253721,264282938.368255,135922.553179514,601.857259963179,346088913.792077,331998195.136757,36,39
132,36093841.0566799,30475968.0142964,223828125.352386,69676.358322211,36817.2288169843,45555.9916128709,290397934.423363,152049.578752066,601.857259963179,381910077.269637,366147514.061854,38,40
133,15562036.2361616,28490168.1740147,213167960.678862,75854.9390964018,36242.1213542146,44349.7539450394,257220165.089038,156446.814395656,601.857259963179,351378816.131175,335160403.55281,34,36
134,10851273.3194782,33958378.7139382,240859904.119667,69676.3583222109,37410.4248915214,46813.5643104559,285669556.153084,153900.347524188,601.857259963179,378295597.621372,362341170.286159,43,44
135,8532773.60152262,32468529.9419717,233847434.08677,75854.9390964018,38024.4808899668,48131.5469859873,274848737.630264,162010.966972356,601.857259963179,372356214.296231,355560981.266222,41,48
136,45901151.5770143,28538211.2953397,213546801.812074,41849.948076495,36816.0120321815,45555.4122050402,287986164.684428,124221.372313717,601.857259963179,362749699.454027,349872010.157398,34,40
137,58373275.1742174,30511784.6077301,224136067.394678,89904.3497233172,37876.7709140213,47809.0507738923,313021127.176626,175590.171411231,601.857259963179,418701346.618654,400498394.671987,38,47
138,22317839.0853814,31241493.3212426,228078732.716816,82581.4081544014,37112.0166639157,46175.6987231038,281638065.12344,165869.123541421,601.857259963179,381467601.330574,364272403.78054,39,42
139,15562036.2361616,36719946.798405,253138187.911264,53999.5553495007,36665.36543671,45238.9040897577,305420170.945831,135903.824875968,601.857259963179,387214874.604197,373126097.46079,46,39
140,32006476.1373305,31707653.91544,230062916.416301,45561.0100609715,36810.2945016482,45546.2235684564,293777046.469071,127917.528131076,601.857259963179,370765139.451304,357504279.808692,40,40
141,25167923.304646,35756549.0138056,248990204.84705,89904.3497233172,38178.4352085643,48468.3632034835,309914677.165502,176551.148135365,601.857259963179,416173267.425606,397870693.655059,45,49
142,8532773.60152262,36747463.8433598,253374508.772483,82581.4081544014,36664.6355544058,45239.7117759801,298654746.217366,164485.755484787,601.857259963179,397651692.316413,380599904.742332,46,39
143,51762926.4224746,26863236.7710793,203500969.634972,89904.3497233172,37252.5394859746,46484.3643459437,282127132.828526,173641.253555235,601.857259963179,386634381.909852,368633468.937209,30,43
144,51762926.4224746,29960585.6280485,221179857.185673,89904.3497233172,37107.881353454,46174.7808621124,302903369.236196,173187.011938884,601.857259963179,407137229.702943,389183406.714028,37,42
145,12237027.6807518,29945099.9001523,221084290.009853,49601.1520487839,37256.6727981858,46487.4158947673,263266417.590757,133345.240741737,601.857259963179,343521218.812709,329697683.075883,37,43
146,25167923.304646,31100649.9664321,227097562.300718,53999.5553495007,36378.552299958,44641.580373718,283366135.571796,135019.688023177,601.857259963179,364628715.046508,350631593.948062,39,37
147,6709648.09301686,34706837.5981822,244089621.748185,82581.4081544014,36240.0516389233,44341.5753333666,285506107.439384,163163.035126691,601.857259963179,383706964.688011,366792299.909151,44,36
148,10851273.3194782,30497569.0468698,223956633.513543,69676.358322211,36098.3946541377,44042.990517137,265305475.879891,149817.743493486,601.857259963179,355474372.472747,339943177.510911,38,35
149,10851273.3194782,49851237.9077728,303361808.669638,75854.9390964018,36379.5258738252,44634.9258953015,364064319.896889,156869.390865529,601.857259963179,458477301.655309,442215081.732187,55,37
150,28381975.5597865,33149524.6163516,236988663.796039,193137.446297388,36526.5666768399,44937.5296191088,298520163.972177,274601.542593337,601.857259963179,463791095.979064,435323906.476751,42,38
151,19790506.1697733,30593686.4648879,224697169.125795,64001.0389155453,36952.2431668556,45853.6097084211,275081361.760456,146806.891790822,601.857259963179,363438155.397391,348219087.181726,38,41
152,25167923.304646,31809421.4601045,230845738.254257,35310.029740494,37254.9707042683,46484.2981499842,287823083.019008,119049.298594747,601.857259963179,359473767.67178,347132253.085924,40,43
153,51762926.4224746,32438953.7657573,233772718.1034,89904.3497233173,37563.1926837967,47139.8503109044,317974598.291632,174607.392718018,601.857259963179,423063325.242214,404962255.269822,41,45
154,13799748.8452063,37817141.4235204,257967319.730209,126291.576451414,37718.3937885843,47466.1122606497,309584209.998935,211476.082500648,601.857259963179,436862625.560523,414939479.539933,47,46
155,9622445.5583469,37804910.7105637,257910208.184248,126291.576451414,35818.0997791481,43466.5752987538,305337564.453158,205576.251529316,601.857259963179,429065123.912094,407753597.202548,47,33
156,28381975.5597865,37764636.0249029,257602803.690938,89904.3497233172,37555.2922447939,47127.0458308382,323749415.275627,174586.687798949,601.857259963179,428825680.82035,410726757.270186,47,45
